Water,SBB00_1,bbear1_w,Black Bear Cr nr mouth,Black Bear Creek,-123.22,41.2,-123.22,41.2,129300,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2013, 2014, 2015, 2016, 2017"
Air,SBBAIR,,Black Bear Cr Air,Black Bear Creek AIR,-123.22,41.2,,,,
Water,SBU00_1,sbu00_1_w,Butler Cr nr mouth,Butler Creek,-123.4,41.33,-123.4,41.33,131098,"1996, 2001, 2003, 2005, 2007, 2008, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
Water,SBU00_2,,Side channel pool at main Salmon confl with Butler Cr,Side channel pool at mainstem Salmon confluence with Butler Creek,-123.4,41.33,,,,2003
Water,SCE00_2,cecil1_w,Cecil Cr nr mouth,Cecil Creek,-123.12,41.13,-123.12,41.13,128203,"1997, 1998, 1999, 2000, 2010, 2012, 2013, 2014, 2015, 2016, 2017"
Air,SCEAIR,cecil1_a,Cecil Cr Air,Cecil Creek Air,-123.12,41.13,,,,
Water,SCF00_1,craw1_w,Crawford Cr (Salmon) nr mouth,Crawfod Creek,-123.13,41.14,-123.13,41.14,128718,"1996, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
Water,SCR00_1,crapo1_w,Crapo Cr nr mouth,Crapo Creek Mouth,-123.36,41.29,-123.36,41.29,130525,"1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2012, 2014, 2016, 2017"
Water,SCR02_0,,Crapo Cr at Lower Landing,Crapo Creek at Lower Landing,-123.35,41.29,-123.35,41.29,130524,2000
Air,SCRAIR,crapo1_a,Crapo Cr Air,Crapo Creek Air,-123.36,41.29,,,,
Air,SCRAIRA,,Crapo Cr Air,Crapo Creek Air,-123.36,41.29,,,,
Water,SED00_1,eddys1_w,Eddy Gulch nr mouth,Eddy Gulch,-123.12,41.29,-123.12,41.29,129951,"1997, 1998, 1999, 2000, 2010, 2011, 2012, 2014, 2015, 2016, 2017"
Water,SEF00_1,,EF Salmon at EF CG,East Fork Salmon at East Fork CG,-123.1,41.15,-123.1,41.15,128645,"1999, 2000, 2001"
Water,SEF01_4,esfsa1_w,EF Salmon ds Taylor Cr,East Fork Salmon below Taylor Creek,-123.09,41.16,-123.09,41.16,128643,"1998, 1999, 2000, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"
Water,SEF02_0,,EF Salmon us S Taylor Cr,East Fork Salmon above South Taylor Creek,-123.09,41.17,-123.09,41.17,128730,"1996, 1998, 1999, 2000, 2001, 2003"
